21# Number of electrodes
# x z
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
255# Number of data
#a	b	m	n	rhoa
   1	   4	   2	   3	181.36
   2	   5	   3	   4	164.00
   3	   6	   4	   5	132.74
   4	   7	   5	   6	141.91
   5	   8	   6	   7	133.45
   6	   9	   7	   8	146.25
   7	  10	   8	   9	183.75
   8	  11	   9	  10	197.96
   9	  12	  10	  11	255.04
  10	  13	  11	  12	293.28
  11	  14	  12	  13	284.90
  12	  15	  13	  14	263.06
  13	  16	  14	  15	219.14
  14	  17	  15	  16	184.07
  15	  18	  16	  17	165.10
  16	  19	  17	  18	152.59
  17	  20	  18	  19	172.71
  18	  21	  19	  20	225.87
   1	   7	   3	   5	171.57
   2	   8	   4	   6	165.20
   3	   9	   5	   7	172.74
   4	  10	   6	   8	178.24
   5	  11	   7	   9	216.04
   6	  12	   8	  10	234.37
   7	  13	   9	  11	244.27
   8	  14	  10	  12	292.54
   9	  15	  11	  13	320.47
  10	  16	  12	  14	305.75
  11	  17	  13	  15	290.43
  12	  18	  14	  16	295.57
  13	  19	  15	  17	277.73
  14	  20	  16	  18	252.58
  15	  21	  17	  19	251.20
   1	  10	   4	   7	207.92
   2	  11	   5	   8	230.52
   3	  12	   6	   9	262.21
   4	  13	   7	  10	265.69
   5	  14	   8	  11	275.73
   6	  15	   9	  12	313.08
   7	  16	  10	  13	326.38
   8	  17	  11	  14	318.05
   9	  18	  12	  15	321.65
  10	  19	  13	  16	311.54
  11	  20	  14	  17	311.33
  12	  21	  15	  18	317.35
   1	  13	   5	   9	276.07
   2	  14	   6	  10	287.73
   3	  15	   7	  11	312.17
   4	  16	   8	  12	346.35
   5	  17	   9	  13	352.23
   6	  18	  10	  14	368.90
   7	  19	  11	  15	366.37
   8	  20	  12	  16	325.92
   9	  21	  13	  17	308.57
   1	  16	   6	  11	327.23
   2	  17	   7	  12	372.36
   3	  18	   8	  13	398.85
   4	  19	   9	  14	407.41
   5	  20	  10	  15	405.33
   6	  21	  11	  16	385.12
   1	  19	   7	  13	432.10
   2	  20	   8	  14	428.86
   3	  21	   9	  15	420.56
   1	   0	   2	   3	209.21
   2	   0	   3	   4	191.97
   3	   0	   4	   5	150.84
   4	   0	   5	   6	154.48
   5	   0	   6	   7	141.00
   6	   0	   7	   8	150.48
   7	   0	   8	   9	137.90
   8	   0	   9	  10	125.90
   9	   0	  10	  11	171.83
  10	   0	  11	  12	229.29
  11	   0	  12	  13	304.51
  12	   0	  13	  14	311.96
  13	   0	  14	  15	263.48
  14	   0	  15	  16	224.22
  15	   0	  16	  17	188.42
  16	   0	  17	  18	142.72
  17	   0	  18	  19	137.90
  18	   0	  19	  20	166.54
  19	   0	  20	  21	189.92
   1	   0	   3	   4	201.78
   2	   0	   4	   5	178.36
   3	   0	   5	   6	213.19
   4	   0	   6	   7	200.72
   5	   0	   7	   8	185.08
   6	   0	   8	   9	142.69
   7	   0	   9	  10	98.33
   8	   0	  10	  11	122.74
   9	   0	  11	  12	221.08
  10	   0	  12	  13	293.20
  11	   0	  13	  14	310.52
  12	   0	  14	  15	339.52
  13	   0	  15	  16	312.21
  14	   0	  16	  17	278.22
  15	   0	  17	  18	211.35
  16	   0	  18	  19	198.23
  17	   0	  19	  20	229.84
  18	   0	  20	  21	230.94
   1	   0	   4	   5	219.51
   2	   0	   5	   6	270.59
   3	   0	   6	   7	268.46
   4	   0	   7	   8	261.93
   5	   0	   8	   9	176.05
   6	   0	   9	  10	111.10
   7	   0	  10	  11	128.51
   8	   0	  11	  12	185.78
   9	   0	  12	  13	267.59
  10	   0	  13	  14	273.11
  11	   0	  14	  15	308.75
  12	   0	  15	  16	351.26
  13	   0	  16	  17	334.69
  14	   0	  17	  18	264.73
  15	   0	  18	  19	259.43
  16	   0	  19	  20	301.87
  17	   0	  20	  21	294.89
   1	   0	   5	   6	317.13
   2	   0	   6	   7	317.10
   3	   0	   7	   8	325.36
   4	   0	   8	   9	221.72
   5	   0	   9	  10	124.77
   6	   0	  10	  11	148.35
   7	   0	  11	  12	202.67
   8	   0	  12	  13	214.30
   9	   0	  13	  14	234.99
  10	   0	  14	  15	262.22
  11	   0	  15	  16	298.48
  12	   0	  16	  17	343.80
  13	   0	  17	  18	291.43
  14	   0	  18	  19	298.64
  15	   0	  19	  20	363.83
  16	   0	  20	  21	361.51
   1	   0	   6	   7	354.99
   2	   0	   7	   8	364.07
   3	   0	   8	   9	251.33
   4	   0	   9	  10	143.69
   5	   0	  10	  11	163.48
   6	   0	  11	  12	233.00
   7	   0	  12	  13	223.78
   8	   0	  13	  14	188.06
   9	   0	  14	  15	222.40
  10	   0	  15	  16	246.52
  11	   0	  16	  17	280.74
  12	   0	  17	  18	284.14
  13	   0	  18	  19	314.93
  14	   0	  19	  20	400.60
  15	   0	  20	  21	416.84
   1	   0	   7	   8	394.59
   2	   0	   8	   9	266.35
   3	   0	   9	  10	152.47
   4	   0	  10	  11	183.14
   5	   0	  11	  12	253.26
   6	   0	  12	  13	247.81
   7	   0	  13	  14	197.58
   8	   0	  14	  15	182.04
   9	   0	  15	  16	206.65
  10	   0	  16	  17	228.32
  11	   0	  17	  18	226.19
  12	   0	  18	  19	298.45
  13	   0	  19	  20	412.17
  14	   0	  20	  21	446.22
   1	   2	   3	   4	186.80
   2	   3	   4	   5	136.85
   3	   4	   5	   6	124.93
   4	   5	   6	   7	111.10
   5	   6	   7	   8	132.85
   6	   7	   8	   9	135.07
   7	   8	   9	  10	140.01
   8	   9	  10	  11	195.66
   9	  10	  11	  12	233.17
  10	  11	  12	  13	310.47
  11	  12	  13	  14	312.90
  12	  13	  14	  15	225.83
  13	  14	  15	  16	180.13
  14	  15	  16	  17	143.48
  15	  16	  17	  18	108.65
  16	  17	  18	  19	107.35
  17	  18	  19	  20	135.14
  18	  19	  20	  21	169.32
   1	   2	   4	   5	136.27
   2	   3	   5	   6	153.91
   3	   4	   6	   7	132.09
   4	   5	   7	   8	107.55
   5	   6	   8	   9	108.03
   6	   7	   9	  10	85.00
   7	   8	  10	  11	118.13
   8	   9	  11	  12	254.87
   9	  10	  12	  13	317.76
  10	  11	  13	  14	348.45
  11	  12	  14	  15	369.49
  12	  13	  15	  16	272.43
  13	  14	  16	  17	220.78
  14	  15	  17	  18	157.93
  15	  16	  18	  19	137.20
  16	  17	  19	  20	157.71
  17	  18	  20	  21	166.91
   1	   2	   5	   6	197.77
   2	   3	   6	   7	192.39
   3	   4	   7	   8	167.32
   4	   5	   8	   9	105.89
   5	   6	   9	  10	88.34
