21# Number of electrodes
# x z
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
93# Number of data
#a	b	m	n	rhoa
   1	   2	   3	   4	186.80
   2	   3	   4	   5	136.85
   3	   4	   5	   6	124.93
   4	   5	   6	   7	111.10
   5	   6	   7	   8	132.85
   6	   7	   8	   9	135.07
   7	   8	   9	  10	140.01
   8	   9	  10	  11	195.66
   9	  10	  11	  12	233.17
  10	  11	  12	  13	310.47
  11	  12	  13	  14	312.90
  12	  13	  14	  15	225.83
  13	  14	  15	  16	180.13
  14	  15	  16	  17	143.48
  15	  16	  17	  18	108.65
  16	  17	  18	  19	107.35
  17	  18	  19	  20	135.14
  18	  19	  20	  21	169.32
   1	   2	   4	   5	136.27
   2	   3	   5	   6	153.91
   3	   4	   6	   7	132.09
   4	   5	   7	   8	107.55
   5	   6	   8	   9	108.03
   6	   7	   9	  10	85.00
   7	   8	  10	  11	118.13
   8	   9	  11	  12	254.87
   9	  10	  12	  13	317.76
  10	  11	  13	  14	348.45
  11	  12	  14	  15	369.49
  12	  13	  15	  16	272.43
  13	  14	  16	  17	220.78
  14	  15	  17	  18	157.93
  15	  16	  18	  19	137.20
  16	  17	  19	  20	157.71
  17	  18	  20	  21	166.91
   1	   2	   5	   6	197.77
   2	   3	   6	   7	192.39
   3	   4	   7	   8	167.32
   4	   5	   8	   9	105.89
   5	   6	   9	  10	88.34
   6	   7	  10	  11	97.25
   7	   8	  11	  12	160.76
   8	   9	  12	  13	345.75
   9	  10	  13	  14	329.51
  10	  11	  14	  15	377.65
  11	  12	  15	  16	427.39
  12	  13	  16	  17	320.91
  13	  14	  17	  18	223.15
  14	  15	  18	  19	200.16
  15	  16	  19	  20	208.51
  16	  17	  20	  21	194.26
   1	   2	   6	   7	236.39
   2	   3	   7	   8	238.35
   3	   4	   8	   9	156.73
   4	   5	   9	  10	84.16
   5	   6	  10	  11	115.91
   6	   7	  11	  12	140.47
   7	   8	  12	  13	194.15
   8	   9	  13	  14	322.98
   9	  10	  14	  15	339.48
  10	  11	  15	  16	400.18
  11	  12	  16	  17	469.73
  12	  13	  17	  18	306.37
  13	  14	  18	  19	264.73
  14	  15	  19	  20	290.19
  15	  16	  20	  21	251.71
   1	   2	   7	   8	278.49
   2	   3	   8	   9	207.19
   3	   4	   9	  10	115.89
   4	   5	  10	  11	110.08
   5	   6	  11	  12	173.30
   6	   7	  12	  13	159.89
   7	   8	  13	  14	163.59
   8	   9	  14	  15	309.48
   9	  10	  15	  16	344.64
  10	  11	  16	  17	411.61
  11	  12	  17	  18	414.54
  12	  13	  18	  19	349.80
  13	  14	  19	  20	368.68
  14	  15	  20	  21	341.20
   1	   2	   8	   9	222.80
   2	   3	   9	  10	142.20
   3	   4	  10	  11	154.58
   4	   5	  11	  12	169.94
   5	   6	  12	  13	194.73
   6	   7	  13	  14	132.79
   7	   8	  14	  15	148.13
   8	   9	  15	  16	310.46
   9	  10	  16	  17	343.98
  10	  11	  17	  18	351.86
  11	  12	  18	  19	484.16
  12	  13	  19	  20	492.99
  13	  14	  20	  21	426.89
