21# Number of electrodes
# x z
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
99# Number of data
#a	b	m	n	rhoa
   1	   0	   2	   3	209.21
   2	   0	   3	   4	191.97
   3	   0	   4	   5	150.84
   4	   0	   5	   6	154.48
   5	   0	   6	   7	141.00
   6	   0	   7	   8	150.48
   7	   0	   8	   9	137.90
   8	   0	   9	  10	125.90
   9	   0	  10	  11	171.83
  10	   0	  11	  12	229.29
  11	   0	  12	  13	304.51
  12	   0	  13	  14	311.96
  13	   0	  14	  15	263.48
  14	   0	  15	  16	224.22
  15	   0	  16	  17	188.42
  16	   0	  17	  18	142.72
  17	   0	  18	  19	137.90
  18	   0	  19	  20	166.54
  19	   0	  20	  21	189.92
   1	   0	   3	   4	201.78
   2	   0	   4	   5	178.36
   3	   0	   5	   6	213.19
   4	   0	   6	   7	200.72
   5	   0	   7	   8	185.08
   6	   0	   8	   9	142.69
   7	   0	   9	  10	98.33
   8	   0	  10	  11	122.74
   9	   0	  11	  12	221.08
  10	   0	  12	  13	293.20
  11	   0	  13	  14	310.52
  12	   0	  14	  15	339.52
  13	   0	  15	  16	312.21
  14	   0	  16	  17	278.22
  15	   0	  17	  18	211.35
  16	   0	  18	  19	198.23
  17	   0	  19	  20	229.84
  18	   0	  20	  21	230.94
   1	   0	   4	   5	219.51
   2	   0	   5	   6	270.59
   3	   0	   6	   7	268.46
   4	   0	   7	   8	261.93
   5	   0	   8	   9	176.05
   6	   0	   9	  10	111.10
   7	   0	  10	  11	128.51
   8	   0	  11	  12	185.78
   9	   0	  12	  13	267.59
  10	   0	  13	  14	273.11
  11	   0	  14	  15	308.75
  12	   0	  15	  16	351.26
  13	   0	  16	  17	334.69
  14	   0	  17	  18	264.73
  15	   0	  18	  19	259.43
  16	   0	  19	  20	301.87
  17	   0	  20	  21	294.89
   1	   0	   5	   6	317.13
   2	   0	   6	   7	317.10
   3	   0	   7	   8	325.36
   4	   0	   8	   9	221.72
   5	   0	   9	  10	124.77
   6	   0	  10	  11	148.35
   7	   0	  11	  12	202.67
   8	   0	  12	  13	214.30
   9	   0	  13	  14	234.99
  10	   0	  14	  15	262.22
  11	   0	  15	  16	298.48
  12	   0	  16	  17	343.80
  13	   0	  17	  18	291.43
  14	   0	  18	  19	298.64
  15	   0	  19	  20	363.83
  16	   0	  20	  21	361.51
   1	   0	   6	   7	354.99
   2	   0	   7	   8	364.07
   3	   0	   8	   9	251.33
   4	   0	   9	  10	143.69
   5	   0	  10	  11	163.48
   6	   0	  11	  12	233.00
   7	   0	  12	  13	223.78
   8	   0	  13	  14	188.06
   9	   0	  14	  15	222.40
  10	   0	  15	  16	246.52
  11	   0	  16	  17	280.74
  12	   0	  17	  18	284.14
  13	   0	  18	  19	314.93
  14	   0	  19	  20	400.60
  15	   0	  20	  21	416.84
   1	   0	   7	   8	394.59
   2	   0	   8	   9	266.35
   3	   0	   9	  10	152.47
   4	   0	  10	  11	183.14
   5	   0	  11	  12	253.26
   6	   0	  12	  13	247.81
   7	   0	  13	  14	197.58
   8	   0	  14	  15	182.04
   9	   0	  15	  16	206.65
  10	   0	  16	  17	228.32
  11	   0	  17	  18	226.19
  12	   0	  18	  19	298.45
  13	   0	  19	  20	412.17
  14	   0	  20	  21	446.22
