21# Number of electrodes
# x z
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
63# Number of data
#a	b	m	n	rhoa
   1	   4	   2	   3	181.36
   2	   5	   3	   4	164.00
   3	   6	   4	   5	132.74
   4	   7	   5	   6	141.91
   5	   8	   6	   7	133.45
   6	   9	   7	   8	146.25
   7	  10	   8	   9	183.75
   8	  11	   9	  10	197.96
   9	  12	  10	  11	255.04
  10	  13	  11	  12	293.28
  11	  14	  12	  13	284.90
  12	  15	  13	  14	263.06
  13	  16	  14	  15	219.14
  14	  17	  15	  16	184.07
  15	  18	  16	  17	165.10
  16	  19	  17	  18	152.59
  17	  20	  18	  19	172.71
  18	  21	  19	  20	225.87
   1	   7	   3	   5	171.57
   2	   8	   4	   6	165.20
   3	   9	   5	   7	172.74
   4	  10	   6	   8	178.24
   5	  11	   7	   9	216.04
   6	  12	   8	  10	234.37
   7	  13	   9	  11	244.27
   8	  14	  10	  12	292.54
   9	  15	  11	  13	320.47
  10	  16	  12	  14	305.75
  11	  17	  13	  15	290.43
  12	  18	  14	  16	295.57
  13	  19	  15	  17	277.73
  14	  20	  16	  18	252.58
  15	  21	  17	  19	251.20
   1	  10	   4	   7	207.92
   2	  11	   5	   8	230.52
   3	  12	   6	   9	262.21
   4	  13	   7	  10	265.69
   5	  14	   8	  11	275.73
   6	  15	   9	  12	313.08
   7	  16	  10	  13	326.38
   8	  17	  11	  14	318.05
   9	  18	  12	  15	321.65
  10	  19	  13	  16	311.54
  11	  20	  14	  17	311.33
  12	  21	  15	  18	317.35
   1	  13	   5	   9	276.07
   2	  14	   6	  10	287.73
   3	  15	   7	  11	312.17
   4	  16	   8	  12	346.35
   5	  17	   9	  13	352.23
   6	  18	  10	  14	368.90
   7	  19	  11	  15	366.37
   8	  20	  12	  16	325.92
   9	  21	  13	  17	308.57
   1	  16	   6	  11	327.23
   2	  17	   7	  12	372.36
   3	  18	   8	  13	398.85
   4	  19	   9	  14	407.41
   5	  20	  10	  15	405.33
   6	  21	  11	  16	385.12
   1	  19	   7	  13	432.10
   2	  20	   8	  14	428.86
   3	  21	   9	  15	420.56
